dataset,preproc,vectorizer,lsa,k,model,f1_score
ag_news,stem,tfidf,False,N/A,RandomForestClassifier,0.8952
ag_news,stem,tfidf,False,N/A,GradientBoostingClassifier,0.8341
ag_news,stem,tfidf,False,N/A,MLPClassifier,0.9158
ag_news,stem,tfidf,False,N/A,LinearSVC,0.9171
ag_news,stem,tfidf,False,N/A,MultinomialNB,0.9037
ag_news,stem,count,False,N/A,RandomForestClassifier,0.8928
ag_news,stem,count,False,N/A,GradientBoostingClassifier,0.8328
ag_news,stem,count,False,N/A,MLPClassifier,0.9167
ag_news,stem,count,False,N/A,LinearSVC,0.8931
ag_news,stem,count,False,N/A,MultinomialNB,0.9038
ag_news,lemma,tfidf,False,N/A,RandomForestClassifier,0.8963
ag_news,lemma,tfidf,False,N/A,GradientBoostingClassifier,0.8344
ag_news,lemma,tfidf,False,N/A,MLPClassifier,0.9201
ag_news,lemma,tfidf,False,N/A,LinearSVC,0.9186
ag_news,lemma,tfidf,False,N/A,MultinomialNB,0.9046
ag_news,lemma,count,False,N/A,RandomForestClassifier,0.895
ag_news,lemma,count,False,N/A,GradientBoostingClassifier,0.8317
ag_news,lemma,count,False,N/A,MLPClassifier,0.9178
ag_news,lemma,count,False,N/A,LinearSVC,0.8918
ag_news,lemma,count,False,N/A,MultinomialNB,0.9058
ag_news,stem,tfidf,True,3,RandomForestClassifier,0.6918
ag_news,stem,tfidf,True,3,GradientBoostingClassifier,0.708
ag_news,stem,tfidf,True,3,MLPClassifier,0.7082
ag_news,stem,tfidf,True,3,LinearSVC,0.6741
ag_news,stem,tfidf,True,10,RandomForestClassifier,0.8364
ag_news,stem,tfidf,True,10,GradientBoostingClassifier,0.8257
ag_news,stem,tfidf,True,10,MLPClassifier,0.8296
ag_news,stem,tfidf,True,10,LinearSVC,0.8077
ag_news,stem,tfidf,True,50,RandomForestClassifier,0.864
ag_news,stem,tfidf,True,50,GradientBoostingClassifier,0.854
ag_news,stem,tfidf,True,50,MLPClassifier,0.8785
ag_news,stem,tfidf,True,50,LinearSVC,0.8556
ag_news,lemma,tfidf,True,3,RandomForestClassifier,0.6978
ag_news,lemma,tfidf,True,3,GradientBoostingClassifier,0.7125
ag_news,lemma,tfidf,True,3,MLPClassifier,0.7145
ag_news,lemma,tfidf,True,3,LinearSVC,0.6561
ag_news,lemma,tfidf,True,10,RandomForestClassifier,0.8348
ag_news,lemma,tfidf,True,10,GradientBoostingClassifier,0.8217
ag_news,lemma,tfidf,True,10,MLPClassifier,0.8307
ag_news,lemma,tfidf,True,10,LinearSVC,0.8037
ag_news,lemma,tfidf,True,50,RandomForestClassifier,0.8687
ag_news,lemma,tfidf,True,50,GradientBoostingClassifier,0.8549
ag_news,lemma,tfidf,True,50,MLPClassifier,0.8784
ag_news,lemma,tfidf,True,50,LinearSVC,0.8547
imdb,stem,tfidf,False,N/A,RandomForestClassifier,0.8502
imdb,stem,tfidf,False,N/A,GradientBoostingClassifier,0.817
imdb,stem,tfidf,False,N/A,MLPClassifier,0.8981
imdb,stem,tfidf,False,N/A,LinearSVC,0.8911
imdb,stem,tfidf,False,N/A,MultinomialNB,0.8602
imdb,stem,count,False,N/A,RandomForestClassifier,0.8517
imdb,stem,count,False,N/A,GradientBoostingClassifier,0.8196
imdb,stem,count,False,N/A,MLPClassifier,0.8862
imdb,stem,count,False,N/A,LinearSVC,0.8596
imdb,stem,count,False,N/A,MultinomialNB,0.8545
imdb,lemma,tfidf,False,N/A,RandomForestClassifier,0.8504
imdb,lemma,tfidf,False,N/A,GradientBoostingClassifier,0.8183
imdb,lemma,tfidf,False,N/A,MLPClassifier,0.9021
imdb,lemma,tfidf,False,N/A,LinearSVC,0.8966
imdb,lemma,tfidf,False,N/A,MultinomialNB,0.8638
imdb,lemma,count,False,N/A,RandomForestClassifier,0.854
imdb,lemma,count,False,N/A,GradientBoostingClassifier,0.8129
imdb,lemma,count,False,N/A,MLPClassifier,0.8878
imdb,lemma,count,False,N/A,LinearSVC,0.8667
imdb,lemma,count,False,N/A,MultinomialNB,0.855
imdb,stem,tfidf,True,3,RandomForestClassifier,0.5516
imdb,stem,tfidf,True,3,GradientBoostingClassifier,0.5617
imdb,stem,tfidf,True,3,MLPClassifier,0.5504
imdb,stem,tfidf,True,3,LinearSVC,0.6151
imdb,stem,tfidf,True,10,RandomForestClassifier,0.811
imdb,stem,tfidf,True,10,GradientBoostingClassifier,0.8061
imdb,stem,tfidf,True,10,MLPClassifier,0.8127
imdb,stem,tfidf,True,10,LinearSVC,0.82
imdb,stem,tfidf,True,50,RandomForestClassifier,0.8216
imdb,stem,tfidf,True,50,GradientBoostingClassifier,0.8238
imdb,stem,tfidf,True,50,MLPClassifier,0.8499
imdb,stem,tfidf,True,50,LinearSVC,0.85
imdb,lemma,tfidf,True,3,RandomForestClassifier,0.5526
imdb,lemma,tfidf,True,3,GradientBoostingClassifier,0.5561
imdb,lemma,tfidf,True,3,MLPClassifier,0.5592
imdb,lemma,tfidf,True,3,LinearSVC,0.612
imdb,lemma,tfidf,True,10,RandomForestClassifier,0.8098
imdb,lemma,tfidf,True,10,GradientBoostingClassifier,0.8102
imdb,lemma,tfidf,True,10,MLPClassifier,0.813
imdb,lemma,tfidf,True,10,LinearSVC,0.8107
imdb,lemma,tfidf,True,50,RandomForestClassifier,0.815
imdb,lemma,tfidf,True,50,GradientBoostingClassifier,0.821
imdb,lemma,tfidf,True,50,MLPClassifier,0.8422
imdb,lemma,tfidf,True,50,LinearSVC,0.8413
